14
Alice Smith,0987654321,alice@gmail.com
Bob Johnson,1112223333,bob@gmail.com
Carol White,4445556666,carol@gmail.com
David Brown,7778889999,david@gmail.com
Eve Davis,6665554444,eve@gmail.com
Frank Miller,3334445555,frank@gmail.com
Grace Wilson,2223334444,grace@gmail.com
Hannah Clark,5556667777,hannah@gmail.com
Ian Lewis,8889990000,ian@gmail.com
John Doe,1234567890,johndoe@gmail.com
T Mahesh,8555041237,mahee@gmail.com
T Mahesh,9398994620,mahesh@gmail.com
T Mahesh,9989524760,mahii@gmail.com
T Mahesh,9704141390,satish@gmail.com
